Student ID,Gender,Ethnicity,FSA_MATH,Retained,Attendance,Behavior,Fall_Diag,Winter_Diag,Bins_Fall
3505181649,M,Caucasian,4,NO,NO,NO,456,446,4
3507461649,M,Caucasian,4,NO,NO,NO,457,460,4
3508041649,F,Caucasian,5,NO,NO,NO,465,467,4
3509881649,M,Caucasian,5,NO,NO,NO,476,496,5
3510171549,M,Caucasian,3,YES,NO,NO,443,443,3
3510261513,M,Caucasian,4,NO,NO,NO,427,475,3
3510301649,M,Multi-Racial,3,NO,NO,NO,439,455,3
3510291649,M,Caucasian,4,NO,NO,NO,456,458,4
3510911649,M,Caucasian,3,NO,NO,NO,404,454,2
3511661649,M,Caucasian,3,NO,NO,NO,435,451,3
3512421649,M,Caucasian,3,NO,NO,NO,436,456,3
3512811649,F,Caucasian,3,NO,NO,NO,446,461,4
3513031423,M,Caucasian,3,YES,NO,NO,448,446,4
4804290612,M,Hispanic,1,NO,NO,NO,386,410,1
3514841649,M,Caucasian,2,NO,NO,NO,409,441,2
4804301887,M,American Indian,5,NO,NO,NO,437,466,3
3517311649,M,Caucasian,4,NO,NO,NO,430,436,3
3517421549,F,Caucasian,3,YES,NO,NO,431,443,3
3517401649,F,Hispanic,4,NO,NO,NO,428,465,3
3517711849,M,Caucasian,4,NO,NO,NO,439,464,3
3518351504,F,Hispanic,4,NO,NO,NO,434,457,3
3519911649,M,Caucasian,4,NO,NO,NO,458,455,4
3521041796,M,Caucasian,3,NO,NO,NO,451,474,4
3523291649,F,Asian,3,NO,NO,NO,426,456,3
3529091649,F,African American,4,NO,NO,NO,456,465,4
3530301649,F,Caucasian,5,NO,NO,NO,455,470,4
3530481649,M,Caucasian,3,NO,NO,NO,431,450,3
3530741649,F,Caucasian,5,NO,NO,NO,450,470,4
3532761649,F,Caucasian,5,NO,NO,NO,463,465,4
3550321531,M,Hispanic,4,NO,NO,NO,447,456,4
3551201849,M,Hispanic,4,NO,NO,NO,434,460,3
3551341649,M,Caucasian,4,NO,NO,NO,426,461,3
3553311849,F,African American,4,NO,NO,NO,425,439,3
3553381622,F,Caucasian,4,NO,NO,NO,463,466,4
3554381669,F,Asian,3,NO,NO,NO,433,442,3
3554441649,M,Caucasian,5,NO,NO,NO,453,459,4
3554491949,F,Hispanic,3,NO,NO,NO,412,451,2
3554711649,F,Hispanic,4,NO,NO,NO,441,473,3
3555521570,F,Caucasian,2,NO,NO,NO,421,444,3
4804291888,M,Caucasian,4,NO,NO,NO,450,465,4
